Date,^GSPC,log_ret,ewma200,ewma50,ewma20,ewma10,mom200,mom50,mom20,mom10,momrev200,momrev50,momrev20,momrev10,vola200,vola50,vola20,vola10
2017-06-26 00:00:00-04:00,2439.070068359375,0.00031575193973236123,2306.3630290283363,2407.575639783806,2429.9682903132452,2436.526558777391,1.1181726556462206,1.04728316172363,1.009624061122975,1.0039846118611193,0.8943162712399495,0.9548515974936417,0.9904676785215772,0.9960312022574401,0.07549129634978924,0.03197000865374694,0.015381384576503976,0.012565693767048247
2017-06-27 00:00:00-04:00,2419.3798828125,-0.008105586575672907,2307.487574837134,2408.0385512751272,2428.9598705512694,2433.408981329229,1.137028125720698,1.0299572469909979,1.0026813975402293,0.9914068826174203,0.8794857201673498,0.970914086891939,0.9973257731251349,1.0086675990788898,0.07159102712169273,0.032246606734680563,0.017568923502266406,0.014207923553523879
2017-06-28 00:00:00-04:00,2440.68994140625,0.008769501646551084,2308.812971519414,2409.318997946936,2430.077020156506,2434.7327922523236,1.130451449370086,1.0420546592992628,1.0119785604085059,1.0011362225257667,0.8846023423272388,0.9596425591268478,0.9881632270908285,0.9988650670106609,0.07068607000700908,0.03305812169106372,0.019552774784940424,0.017156444983113264
2017-06-29 00:00:00-04:00,2419.699951171875,-0.008637216844141348,2309.916324550782,2409.726094151836,2429.0887278722557,2431.9995484195147,1.1376009294473521,1.0348691635000997,0.9957366866776658,0.9947542775747449,0.8790428823627994,0.9663057275934607,1.0042815669838971,1.0052733851399407,0.0695640003700219,0.03430174118475169,0.020185529675600073,0.019202036669223342
2017-06-30 00:00:00-04:00,2423.409912109375,0.0015320576108735333,2311.045613979226,2410.2627144638964,2428.5478882757907,2430.4377963631255,1.1400150956328554,1.0286818381969427,0.9935794561816202,0.9959969625278767,0.8771813670106455,0.9721178724733629,1.0064620335881886,1.0040191261848463,0.06955855450532186,0.033597911227386444,0.019856637650038995,0.019300850846044704
2017-07-03 00:00:00-04:00,2429.010009765625,0.0023081679791475806,2312.2193890616777,2410.9979025149446,2428.591899846251,2430.1781987999434,1.1312137322534839,1.0341978168098613,0.9970895744811774,0.9900345016584121,0.8840062416921921,0.9669330023192761,1.0029189208204659,1.0100658091459385,0.0689345349797015,0.033437576285192776,0.020001699817853182,0.01709701180592651
2017-07-05 00:00:00-04:00,2432.5400390625,0.0014522240362887008,2313.416609459696,2411.8426921834766,2428.9679131049415,2430.607624302226,1.1371473564422914,1.0245941238424363,1.0013213358556765,0.9981575974935071,0.8793935054544082,0.9759962279012462,0.9986804077688534,1.00184580321897,0.06879762856426624,0.03182190533646055,0.019861800241672674,0.015976712024257593
2017-07-06 00:00:00-04:00,2409.75,-0.009412987306866183,2314.375150659102,2411.7606258233404,2427.137635666376,2426.8153289745487,1.1265145798209417,1.0088502901802345,0.9903869511779936,0.9893824929765757,0.8876937927948957,0.9912273503151261,1.0097063565009337,1.0107314482505965,0.06952592347906951,0.032800684177530064,0.021916999836274712,0.01846740397660548
2017-07-07 00:00:00-04:00,2425.179931640625,0.006382712569615801,2315.477685793247,2412.2868731102926,2426.9511876639235,2426.5179840047444,1.133388754146435,1.0158034644664407,0.9964622636777691,0.9961716704212877,0.8823097955944594,0.9844423995199293,1.0035502963345282,1.0038430420101119,0.06976559429549067,0.03337336410394592,0.022965468950205833,0.019927492722714067
2017-07-10 00:00:00-04:00,2427.429931640625,0.0009273361035125654,2316.591638488246,2412.8807185428545,2426.996782328371,2426.6837926658136,1.1221891527673378,1.0161840243277003,0.9982152556139081,0.995541927994988,0.891115368148037,0.9840737268641794,1.0017879353937487,1.0044780354093077,0.06900445717687152,0.03337820487924201,0.022980107494467522,0.01986892231281198
